File,Dir,Datetime,Camera,SeqNum,SeqLen,Night,Label
IMG_0001.JPG,E:\Trail_Cameras\Utah\2016-2017\Cam279_010317_Deer,2017:01:03 15:34:34,279,1,2,,0
IMG_0002.JPG,E:\Trail_Cameras\Utah\2016-2017\Cam279_010317_Deer,2017:01:03 15:34:39,279,2,2,,0
IMG_0003.JPG,E:\Trail_Cameras\Utah\2016-2017\Cam279_010317_Deer,2017:01:03 15:34:41,279,1,2,,0
IMG_0004.JPG,E:\Trail_Cameras\Utah\2016-2017\Cam279_010317_Deer,2017:01:03 15:34:42,279,2,2,,0
IMG_0005.JPG,E:\Trail_Cameras\Utah\2016-2017\Cam279_010317_Deer,2017:01:03 15:34:43,279,1,2,,0
IMG_0006.JPG,E:\Trail_Cameras\Utah\2016-2017\Cam279_010317_Deer,2017:01:03 15:34:44,279,2,2,,0
IMG_0007.JPG,E:\Trail_Cameras\Utah\2016-2017\Cam279_010317_Deer,2017:01:03 15:34:46,279,1,2,,0
IMG_0008.JPG,E:\Trail_Cameras\Utah\2016-2017\Cam279_010317_Deer,2017:01:03 15:34:47,279,2,2,,0
IMG_0009.JPG,E:\Trail_Cameras\Utah\2016-2017\Cam279_010317_Deer,2017:01:03 15:34:48,279,1,2,,0
IMG_0010.JPG,E:\Trail_Cameras\Utah\2016-2017\Cam279_010317_Deer,2017:01:03 15:34:49,279,2,2,,0
IMG_0011.JPG,E:\Trail_Cameras\Utah\2016-2017\Cam279_010317_Deer,2017:01:03 15:34:51,279,1,2,,0
IMG_0012.JPG,E:\Trail_Cameras\Utah\2016-2017\Cam279_010317_Deer,2017:01:03 15:34:52,279,2,2,,0
IMG_0013.JPG,E:\Trail_Cameras\Utah\2016-2017\Cam279_010317_Deer,2017:01:03 15:34:54,279,1,2,,0
IMG_0014.JPG,E:\Trail_Cameras\Utah\2016-2017\Cam279_010317_Deer,2017:01:03 15:34:56,279,2,2,,0
IMG_0015.JPG,E:\Trail_Cameras\Utah\2016-2017\Cam279_010317_Deer,2017:01:03 15:34:58,279,1,2,,0
IMG_0016.JPG,E:\Trail_Cameras\Utah\2016-2017\Cam279_010317_Deer,2017:01:03 15:35:01,279,2,2,,0
IMG_0017.JPG,E:\Trail_Cameras\Utah\2016-2017\Cam279_010317_Deer,2017:01:03 15:35:02,279,1,2,,0
IMG_0018.JPG,E:\Trail_Cameras\Utah\2016-2017\Cam279_010317_Deer,2017:01:03 15:35:03,279,2,2,,0
IMG_0019.JPG,E:\Trail_Cameras\Utah\2016-2017\Cam279_010317_Deer,2017:01:03 15:35:05,279,1,2,,0
IMG_0020.JPG,E:\Trail_Cameras\Utah\2016-2017\Cam279_010317_Deer,2017:01:03 15:35:07,279,2,2,,0
IMG_0021.JPG,E:\Trail_Cameras\Utah\2016-2017\Cam279_010317_Deer,2017:01:03 15:35:08,279,1,2,,0
